Id,Name,Classification,FilePresent,SupportedVisualFormat
"36","28.jpeg","REVISAR","True","True"
"37","3.jpeg","REVISAR","True","True"
"38","12.jpeg","REVISAR","True","True"
"39","30.jpeg","REVISAR","True","True"
"40","29.jpeg","REVISAR","True","True"
"41","13.jpeg","REVISAR","True","True"
"42","4.jpeg","REVISAR","True","True"
"43","14.jpeg","REVISAR","True","True"
"44","5.jpeg","REVISAR","True","True"
"45","15.jpeg","REVISAR","True","True"
"46","6.jpeg","REVISAR","True","True"
"47","35.png","REVISAR","True","True"
"48","16.jpeg","REVISAR","True","True"
"49","7.jpeg","REVISAR","True","True"
"50","36.png","REVISAR","True","True"
"51","17.jpeg","REVISAR","True","True"
"52","8.jpeg","REVISAR","True","True"
"53","37.png","REVISAR","True","True"
"54","18.jpeg","REVISAR","True","True"
"55","9.jpeg","REVISAR","True","True"
"56","38.png","REVISAR","True","True"
"57","19.jpeg","REVISAR","True","True"
"58","10.jpeg","REVISAR","True","True"
"59","42.png","REVISAR","True","True"
"60","21.jpeg","REVISAR","True","True"
"61","20.jpeg","REVISAR","True","True"
"62","40.png","REVISAR","True","True"
"63","22.jpeg","REVISAR","True","True"
"64","23.jpeg","REVISAR","True","True"
"65","ejemplo.pdf","REVISAR","True","True"
"66","image001.png","REVISAR","True","True"
"67","image002.png","REVISAR","True","True"
"68","FacturaSINQR_fa8700c24dbd.pdf","FACTURA","True","True"
"69","4_3074beb4520e.jpeg","REVISAR","True","True"
"70","1_d9afaf729e3d.jpeg","REVISAR","True","True"
"71","3_c75e7bfb18ec.jpeg","REVISAR","True","True"
"72","2_420379d4ff45.jpeg","REVISAR","True","True"
"73","FacturaC_PV00004_00000002-1_122412579cb7.jpg","FACTURA","True","True"
"74","FacturaC_PV00004_00000002-1_122412579cb7_122412579cb7.jpg","FACTURA","True","True"
"75","3_c75e7bfb18ec_c75e7bfb18ec.jpeg","REVISAR","True","True"
"76","2_420379d4ff45_420379d4ff45.jpeg","REVISAR","True","True"
"77","4_3074beb4520e_3074beb4520e.jpeg","REVISAR","True","True"
"78","1_d9afaf729e3d_d9afaf729e3d.jpeg","REVISAR","True","True"
"79","4_3074beb4520e_3074beb4520e_3074beb4520e.jpeg","REVISAR","True","True"
"80","1_d9afaf729e3d_d9afaf729e3d_d9afaf729e3d.jpeg","REVISAR","True","True"
"81","2_420379d4ff45_420379d4ff45_420379d4ff45.jpeg","REVISAR","True","True"
"82","3_c75e7bfb18ec_c75e7bfb18ec_c75e7bfb18ec.jpeg","REVISAR","True","True"
"83","FacturaC_PV00004_00000002-1_122412579cb7.jpg","FACTURA","True","True"
"10079","b4c8fa3786e8_Z001023243075.pdf","FACTURA","True","True"
"10080","e8066b5fa877_Z001023243349.pdf","FACTURA","True","True"
"10081","24.jpeg","REVISAR","True","True"
"10082","25.jpeg","REVISAR","True","True"
"10083","26.jpeg","REVISAR","True","True"
"10084","27.jpeg","REVISAR","True","True"
"10085","1.jpeg","REVISAR","True","True"
"10086","28.jpeg","REVISAR","True","True"
"10087","2.jpeg","REVISAR","True","True"
"10088","11.jpeg","REVISAR","True","True"
"10089","29.jpeg","REVISAR","True","True"
"10090","3.jpeg","REVISAR","True","True"
"10091","12.jpeg","REVISAR","True","True"
"10092","30.jpeg","REVISAR","True","True"
"10093","13.jpeg","REVISAR","True","True"
"10094","4.jpeg","REVISAR","True","True"
"10095","14.jpeg","REVISAR","True","True"
"10096","5.jpeg","REVISAR","True","True"
"10097","35.png","REVISAR","True","True"
"10098","15.jpeg","REVISAR","True","True"
"10099","6.jpeg","REVISAR","True","True"
"10100","36.png","REVISAR","True","True"
"10101","16.jpeg","REVISAR","True","True"
"10102","7.jpeg","REVISAR","True","True"
"10103","37.png","REVISAR","True","True"
"10104","17.jpeg","REVISAR","True","True"
"10105","8.jpeg","REVISAR","True","True"
"10106","38.png","REVISAR","True","True"
"10107","18.jpeg","REVISAR","True","True"
"10108","9.jpeg","REVISAR","True","True"
"10109","41.png","REVISAR","True","True"
"10110","19.jpeg","REVISAR","True","True"
"10111","10.jpeg","REVISAR","True","True"
"10112","40.png","REVISAR","True","True"
"10113","21.jpeg","REVISAR","True","True"
"10114","20.jpeg","REVISAR","True","True"
"10115","22.jpeg","REVISAR","True","True"
"10116","23.jpeg","DESCARTAR","False","True"
"10117","e8066b5fa877_Z001023243349.pdf","FACTURA","True","True"
"10118","b4c8fa3786e8_Z001023243075.pdf","REVISAR","True","True"
"10175","082026.pdf","REVISAR","True","True"
"10176","NOTIFICACION AGOSTO.pdf","REVISAR","True","True"
