CandidateId,Sha256,FileName,FamilyId,Split,HeaderOcrConfidence,HeaderSource,VisualReferenceType,VisualReferenceLabel,VisualReferenceObservation,VisualReferenceIsGroundTruth,QrLabels,CanonicalTitleTypes,CanonicalTitleEvidence,SemanticCueTypes,DeterministicDecision,ResolutionReason,GateReason,DecisionEvidence,Residual,ResidualDiagnosticGroup,SemanticNeed,EvidenceGap,VisualReferenceBinaryAgreement,D2Decision,D2ResolutionReason,FusionSignalDecision,FusionSignalReason,FusionEvidence,FiscalAnchors,D3Promoted,D3Decision,D3ResolutionReason,D3Residual,D3PromotionVisualReferenceAgreement
R000049,8441B87BFC984C929BA7CAD936B73DC8744FCB5AFCE7621462F69256E436A220,Z001023386297.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Correo/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000014,F317BB18993C7CED7A45AA3F6FD178FA96A6172E7FABD7108EEF224157CC0671,Z001023455638.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000028,95F2C9C4D0C1D6280F1EB19BEFBEBD0BA285843D7F7A512DB9D892EE33ED6304,Z001023455637.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000141,D0B235541FF454DD27C268EFAEAD6B7BD9413252680BF968BD1A73DFBAB8FBF2,Z001023422650.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000102,BD1E0ED2FF5728514FE2BA73BC86754E43DF43FC802597B768C1BE1E3E86828D,Z001023242494.pdf,F-E0E6D4CC2AAA356496FF,DEVELOPMENT_DIAGNOSTIC,0.89,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000030,31328D4E2153E46FAAAE9641222277DAE1F13947AF9A092B4BB7755FBBB9A801,Z001023386156.pdf,F-46037C8538DCC1CC60E9,DEVELOPMENT,0.89,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000065,A6D943E86073406D69A2BE4C1751A6C7EB285A3860B94FE6E1A630775C2D1280,Z001023455639.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000038,918370F621103ADF69B84A631E8BCEBB4FDFA068BB4289E44E615F647AD48657,Z001023386326.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000071,F5B20E2FAC033C9D5BA92D99C949698DBB26043F8E3F3F442FED8229556887A2,Z001023454353.pdf,F-8D79124EE795FD7A7513,DEVELOPMENT,0.92,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000115,8E13B132B3C35681FD69825FDE333EBCA80C317CA504C213983AAC7C752C5051,Z001023386325.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000062,2076838F1D52111FD6BC4EE423E4CCB3B132F44875254A486F179702AC11CD3E,Z001023284938.pdf,F-F658E033C4D54733E55E,DEVELOPMENT,0.94,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/resumen de importes, no factura.",False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000004,656D5AE0B6E56A426A27D1641C28FD6399B7C35B09FF73D37BA1F9BB63A1B752,Z001023466586.pdf,F-AB87D0B2C88FB403BAD9,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000084,029BA74C659EF4DD76D6B27B185845B1D08198841CC36B27A5670D9A22ABD069,Z001023322190.pdf,F-D82C7BBE00D168058BFD,DEVELOPMENT,0.94,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000079,269759132FB55D567FEEA3FF49AB869F3C2551A726DD615F70808EDF43CE48CE,Z001023397756.pdf,F-BE2EF1FE2EAEAF0C17E3,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,IVA,False,,NO_DECISION,True,
R000057,3504BC9DB0D6985ADC2509C7561829CBDC4C3AEF3608271344B8AAA78193893A,Z001023284287.pdf,F-3222561D40C41F58F70C,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencias.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000112,61028A70518BA892F45603BF90EC226C18A19A5179CFD58A8C6A7038250D18A9,Z001023422190.pdf,F-2E0495C4CFFDB5F65834,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000116,86843BA2824BF042AC7FB104A213134C86A7CC60C61C2849ECD243AC58702D17,Z001023467590.pdf,F-F46647672BE189FABE87,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000085,B50033761C545171297B9A1ECC24CB16299CC271859962E767F5A43D1A74A813,Z001023306727.pdf,F-960EB424FA8B0719AED9,DEVELOPMENT,0.92,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000009,C2AFDB1568B744D697C3CD2B931B30D120DC01DA9CEED3D069EE948FB11956BC,Z001023306728.pdf,F-960EB424FA8B0719AED9,DEVELOPMENT,0.89,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000106,72EDC21A6C809D59BF19C16BA004EBEDB2A9EF36E30C4021255587BD85D02DFA,Z001023365874.pdf,F-0BF3367B68289EBD135F,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Instrucciones/solicitud de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000148,9CD3EF32AAC9B333AA663DBDB9C3C50A0569492018FB064DE7CC5131F4E5E0CB,Z001023337682.pdf,F-0BF3367B68289EBD135F,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000042,E4F3E90DFCD1CD5DE0C8E004D83C55B25F29591424CD0D32EB9A5E26F1641223,Z001023284208.pdf,F-2E0495C4CFFDB5F65834,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000051,D19186FF7C1D0B8802E049D695AD55E88ED02E59A2056380B48DB82C1D1F810B,Z001023423307.pdf,F-6E242ACAA2BDE969DEE9,DEVELOPMENT,0.88,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Correo/gestión de transferencia.,False,,,[],,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,IVA,False,,NO_DECISION,True,
R000037,895412EA332ACCBA41F9B28494B31FAE1EA1AA820FC26815D81C84882DA4176D,Z001023397812.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.85,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Correo/solicitud de transferencia.,False,,,[],,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000087,32E8B48195B841B268A109CF781BAB6898A259ED433D0D655D092E1C2B5A8EE9,Z001023455617.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000011,0C7925D145798B93A239B694B566BDABF9C25A810391C7A3C1A06180F8BD0624,Z001023351253.pdf,F-960EB424FA8B0719AED9,DEVELOPMENT,0.91,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000022,E84EE2D8F3FFFC56FD00153CFED67AEC614227120151E973AFFC920D0E796D2C,Z001023386153.pdf,F-960EB424FA8B0719AED9,DEVELOPMENT,0.9,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,,,NO_DECISION,,,,,False,,NO_DECISION,True,
R000129,4C411CF48623280119E0ED769E084B7CEBD8DCAB71779167D6010F853B29C0A7,Z001023243741.pdf,F-2E0495C4CFFDB5F65834,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/resumen de importes, no factura.",False,,FACTURA,"[{""DocumentType"": ""FACTURA"", ""Alias"": ""FACTURA"", ""CanonicalLine"": ""ASUNTORVFACTURAALQUILERENERO25IMPUESTOS10732008000439"", ""OriginalLine"": ""Asunto: RV: Factura Alquiler Enero 25 + Impuestos ($ 107.320,08) 000439"", ""LineNumber"": 11, ""Position"": 8, ""Reason"": ""CANONICAL_TITLE_ALIAS""}]",,,NO_DECISION_SECONDARY_FACTURA,SECONDARY_MENTION_MARKER,"Asunto: RV: Factura Alquiler Enero 25 + Impuestos ($ 107.320,08) 000439",True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",,,NO_DECISION_SECONDARY_FACTURA,,,,,False,,NO_DECISION_SECONDARY_FACTURA,True,
