Path,Label,GroupId,SourceType,Sha256,Split,OriginalPath,Diversity
Corpus\NO_DOCUMENTO\c5dab04b2642_G0026_image011.png,NO_DOCUMENTO,capturas-sistema-posicion-consolidada,IMAGE,C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0026_image011.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\645d7ce914a8_G0013_inline-0.1.1.jpg,NO_DOCUMENTO,correo-boleta-lanus,IMAGE,645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0013_inline-0.1.1.jpg,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\9a641c4729f3_G0014_inline-0.1.2.jpg,NO_DOCUMENTO,correo-boleta-lanus,IMAGE,9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0014_inline-0.1.2.jpg,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\be8e9456c6b3_I0138_11C1BB9D.jpg,NO_DOCUMENTO,error-impresion-xerox,IMAGE,BE8E9456C6B3CD399C535A48BB397D4BF7C91D9CBDC212D5438373DDEFD4B5B5,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0138_11C1BB9D.jpg,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\94f6e14058c8_image002_94f6e14058c8.png,NO_DOCUMENTO,firma-banco,IMAGE,94F6E14058C816126DE54ADD5ABC33BE7B27923DDB132FBC9590101D1E82C8D7,VALIDATION,C:\RecepcionDocumental\Revisar\2026\08\25\1a03aa055f523b04\image002_94f6e14058c8.png,FIRMA
Corpus\NO_DOCUMENTO\0814c60bd510_H0008_image001.png,NO_DOCUMENTO,firma-deloitte,IMAGE,0814C60BD510A3E30D86D313B0DDDB0CB088B987E781388B1C942943A13D554E,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0008_image001.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\4076445ff732_H0009_image002.jpg,NO_DOCUMENTO,firma-deloitte,IMAGE,4076445FF73213039D7402664EB4FC48546391227FAB11DAA3224DA874701C8C,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0009_image002.jpg,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\0ef37a458986_42_0ef37a458986.png,NO_DOCUMENTO,flightaware-newsletter,IMAGE,0EF37A45898658CCA6C6E9A3A57946875F92E0AC0AF3C602DA2E9086380F6AE4,TEST,C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\42_0ef37a458986.png,NEWSLETTER_PUBLICIDAD
Corpus\NO_DOCUMENTO\15ed536b42d3_35_15ed536b42d3.png,NO_DOCUMENTO,flightaware-newsletter,IMAGE,15ED536B42D37302D1DD306E1E2F9C46AA07C069EC3DE614660DA7B6ECE627C0,TEST,C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\35_15ed536b42d3.png,NEWSLETTER_PUBLICIDAD
Corpus\NO_DOCUMENTO\b6524c56c8e4_37_b6524c56c8e4.png,NO_DOCUMENTO,flightaware-newsletter,IMAGE,B6524C56C8E4C7F199F98CE0E2EBE84BEC72DA783A9E5A1DA9FC17505080F44F,TEST,C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\37_b6524c56c8e4.png,NEWSLETTER_PUBLICIDAD
Corpus\NO_DOCUMENTO\d9afaf729e3d_1_d9afaf729e3d.jpeg,NO_DOCUMENTO,flightaware-newsletter,IMAGE,D9AFAF729E3D7965CE69B7DA7477640EFE7CB3725C7753E3C22305D06BF77C6B,TEST,C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\1_d9afaf729e3d.jpeg,NEWSLETTER_PUBLICIDAD
Corpus\NO_DOCUMENTO\74da980974a4_2013-04-29-465_74da980974a4.jpg,NO_DOCUMENTO,fotos-familiares,IMAGE,74DA980974A41F7B871D2C47FD7A44101AB5661F1393C6FEFD5399CAA02A68DD,TRAIN,C:\RecepcionDocumental\Revisar\2026\08\20\1a01f6a8c7fec053\2013-04-29-465_74da980974a4.jpg,FOTOGRAFIA
Corpus\NO_DOCUMENTO\ec91de96f8a2_2012-08-24-031_ec91de96f8a2.jpg,NO_DOCUMENTO,fotos-familiares,IMAGE,EC91DE96F8A25E7EE60D3F37BF910A33AE2F346FEE43CEEEF8DFD14BB3F53973,TRAIN,C:\RecepcionDocumental\Revisar\2026\08\19\1a01c6ff45809cb8\2012-08-24-031_ec91de96f8a2.jpg,FOTOGRAFIA
Corpus\NO_DOCUMENTO\966fcc7f039d_G0015_6a60f5b49e0e0_128ba41717019@sidekiq-default-84d546fbfc-g5vnq.png,NO_DOCUMENTO,mapas-viajes,IMAGE,966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0015_6a60f5b49e0e0_128ba41717019@sidekiq-default-84d546fbfc-g5vnq.mail,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\d2b2facb91dd_G0012_map.png,NO_DOCUMENTO,mapas-viajes,IMAGE,D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0012_map.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\f6112d3a8671_G0016_6a60d44ed1591_14225c19926a@sidekiq-default-84d546fbfc-lwrvd.png,NO_DOCUMENTO,mapas-viajes,IMAGE,F6112D3A8671D063327C69FBA50410F72448E6DA21C4C8A6AFCFC3F883CE84A4,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0016_6a60d44ed1591_14225c19926a@sidekiq-default-84d546fbfc-lwrvd.mail,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\131e45d3dc80_I0139_ez mac chica.png,NO_DOCUMENTO,publicidad-ezdrummer,IMAGE,131E45D3DC803E82CB78E212E95C4E289E840BF38F309CC9E631F8D3F0668D7B,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0139_ez mac chica.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\398257aa4267_G0027_1.jpg,NO_DOCUMENTO,publicidad-guia,IMAGE,398257AA42671A521BDE2ED73A1695CCE3819975D25652CA5F06383773E842EE,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0027_1.jpg,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\5eac3dd71342_I0001_Launch.png,NO_DOCUMENTO,publicidad-samsung-galaxy,IMAGE,5EAC3DD7134262EC7667AFFD27336A78CCB94C616157B186FF964556F9635BB7,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0001_Launch.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\dfb5d9b1fc47_G0018_inline-1.jpg,NO_DOCUMENTO,publicidad-websupergoo,IMAGE,DFB5D9B1FC4775F72C0526C008E7C7438380A66D13114E8C65F3FAC5F942FFA3,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0018_inline-1.jpg,REVIEWED_BATCH
