Sha256,Cohort,Width,Height,PillowMode,PillowBands,HasAlpha,HasPalette,HasIcc,HasGamma,SourceRgbSha256
0814C60BD510A3E30D86D313B0DDDB0CB088B987E781388B1C942943A13D554E,DEVELOPMENT,156,30,RGBA,R|G|B|A,true,false,false,true,A71696D0216CED150FCF2C2986A7036001A6EA6613C54C94561D0D6AFEC3AD68
4076445FF73213039D7402664EB4FC48546391227FAB11DAA3224DA874701C8C,DEVELOPMENT,354,334,RGB,R|G|B,false,false,true,true,E7A7C8A7CF1E3AEB32AF5014FB621FD48CC0C50BB161F6CC9E16A0B2E9CD088E
74DA980974A41F7B871D2C47FD7A44101AB5661F1393C6FEFD5399CAA02A68DD,DEVELOPMENT,4000,2248,RGB,R|G|B,false,false,false,true,8593FC6AF0FAB5CC9F8434D29A1D169DDE0C6010288FBCC52B0814465B92369B
EC91DE96F8A25E7EE60D3F37BF910A33AE2F346FEE43CEEEF8DFD14BB3F53973,DEVELOPMENT,4000,2248,RGB,R|G|B,false,false,false,true,ACD40E66C8961B6E420C50A1C2DBDAA6F90D90DAF2C7C30B22FD374EE571B93E
966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D,DEVELOPMENT,1236,616,RGB,R|G|B,false,false,false,true,376AFFA8E997CD75348508FDC380E9E1FA483B9695E66CB41B286057D9117CE3
D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392,DEVELOPMENT,1236,616,RGB,R|G|B,false,false,false,true,922AFB004F1BE8BD09AE6836B75DC8D265FA7B52F23D5397F9C158DC25212C2A
F6112D3A8671D063327C69FBA50410F72448E6DA21C4C8A6AFCFC3F883CE84A4,DEVELOPMENT,1236,616,RGB,R|G|B,false,false,false,true,7822E6ED5AB2D7D9C60808DC173B4A0A0C54A8D052FFA74A157F9B1DB2A1EB4E
131E45D3DC803E82CB78E212E95C4E289E840BF38F309CC9E631F8D3F0668D7B,DEVELOPMENT,500,360,RGBA,R|G|B|A,true,false,false,true,52A0FA5AC88AF99F5D1224D4F1965D30F56EDA500EDFF5ADE3544F9544D8C379
398257AA42671A521BDE2ED73A1695CCE3819975D25652CA5F06383773E842EE,DEVELOPMENT,2000,1300,RGB,R|G|B,false,false,true,false,1FB9B5BB23B0DFE98CDA52458C31F4734AA195E14A755C8EBC85AC808AD90E8E
5EAC3DD7134262EC7667AFFD27336A78CCB94C616157B186FF964556F9635BB7,DEVELOPMENT,650,8489,RGBA,R|G|B|A,true,false,false,true,BF4073F81740A43AC8697AED2BE512259B67E02A1C0B797DAED1D93BFB91B642
DFB5D9B1FC4775F72C0526C008E7C7438380A66D13114E8C65F3FAC5F942FFA3,DEVELOPMENT,600,255,RGB,R|G|B,false,false,false,true,6A3880D86158FA59E7E1C2F5F43246FE990DC336C6855A134ACEC201AD1862B4
2CDC2802080A93C44CC6959AF2AC254546F4652B24A22C9B75546BEDFDB0A3EA,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,B4B3D68691BB02047126980BA28881A13FBEEDD5A4D72A1650B1369FEB66E878
999FBF2C511BEF61577E45BE48F034B1AABDC5692AEB747159BD61CF408F6BB4,DEVELOPMENT,2480,3507,RGBA,R|G|B|A,true,false,false,false,A2D55E0801E18E35491A55C4AF8136E5F577B342EB772A2820FEB5D0A65052DE
7D6906456FD818CCF677B46E7E09A4F9EE6932CEE5AF8FED0DC9CD4D2D7EEE75,DEVELOPMENT,1576,2100,RGB,R|G|B,false,false,true,false,9BFBFBDCBF3D6C6677B9FA317360C54A0472EC5E6AB551295FE5C9114C5A9880
AD4F901A339BA7D979DDC8D72FDF48CF5AEA068CE8B78E0A68DB02659CBB784D,DEVELOPMENT,813,639,RGB,R|G|B,false,false,false,true,E6F5EAA09F9F874B2C22AF3CA132F23C721C213AAAC037F5E79A151CF17EC280
DA7DB06022306B8142F9D0179BDE36BFE71E64CEC4A2D7E10FCCE5D2FDBC7C97,DEVELOPMENT,4284,5712,RGB,R|G|B,false,false,true,false,E470A6CFC4429FAB4942F104B5E4107D3213ED82B87116A2E9348AE66FD760E4
3E354C1E6A7CB85C4D523AC1B7741EC6E1D498440C0B1FFF531DD3B50320AB78,DEVELOPMENT,720,1600,RGB,R|G|B,false,false,false,true,14906528E742E63AE2EAD7D14742C897C90A6DA8D4FED6AACDC3B81D54E50A7D
50D0A84325CDCF665E473A3E3D0F62F86079E2DCFEF4AE4E4BE0D2A776C0AF97,DEVELOPMENT,1036,625,RGBA,R|G|B|A,true,false,false,true,2BBDC653CB60DA337A67C416679307ADF5057D21C8DF4411B5E4E9B4ED75A9F6
02523B356AEC13D925C44F336DDAABE81215EE01EE8BCBDEBFC6714A37D55A28,DEVELOPMENT,1280,1024,RGB,R|G|B,false,false,false,true,0DF173587BA16D3B0EA6544B476C8D4A34969A1B4463F927B63D69794C88A228
AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A,DEVELOPMENT,2480,3508,RGBA,R|G|B|A,true,false,false,false,B3EB738932223FE10592D92A4ED9013D40E3928A7E0DE8FBAFC479097FD6EDFA
70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA,DEVELOPMENT,3541,4875,RGBA,R|G|B|A,true,false,false,false,240DEFC5446EFF5A34249E2E9A436EEE77C6D2CF35C2548261D4067B996C8C6C
28FCC8808B0DEE25A850B6F4C5063E17FB94B3CB194917E84422E9F2A8C111A5,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,230F0CE905DD81F214A2A26A763BEE4D6C6F1BFC0613575175D5D013A096F6C8
CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,37B17C4028C21BF57D86C511C183CBBD22EE70C96D6AC209BE9BF976D63CF074
40D282AFE8457677E743468F7D7EDAAA8FEEDB38D7458D01304953DA8E2E5BE4,DEVELOPMENT,790,440,RGB,R|G|B,false,false,false,true,32753DB7B1C3F76A5551CF52A9BD162A725AD6068234E4DF0835B92470CFF96C
675F30D09450E3C2A33AD99C4DC69C108D812EF861FD47858519F8A9913464E3,DEVELOPMENT,797,399,RGB,R|G|B,false,false,false,true,722D0C0C01D1F0EA2309F061787C35FDA3AE57B33929B2E90EA0F0E4673381A8
9B103DB594C0BEE038C97560216C9623601B0050584D5946910513AC662DCE6F,DEVELOPMENT,820,509,RGB,R|G|B,false,false,false,true,2C1A369B7B443645F31AC33F0CDC0F1000353F6F97DA8D611BEDA8C1EC9990E8
6DB7AD704B49BFC71197B65C40C94E926183B498F4CFEB7553FAE26B2BC534A3,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,0C1B1293AD144C5091B88DE8B694FB222539B68888F3093C528BFC5457AB58CB
1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601,DEVELOPMENT,2479,3504,RGBA,R|G|B|A,true,false,false,false,9452F0CEBAE6590370A5FFDAC0C1C234A488B0EDC9358B16CBE4CCEC5E1031C2
382662294B57C459DB9F1231FE0503A77176D130F8EA1BFB709132C3115F1A49,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,A860EE57F5126A294768BCDCD4EE7354E266540F1644E86CB41A0627172EC062
4C4A524F6C4F42DB654184D20C435FAAFCACA3F08AE9CF313F55ED571DDEAFE3,DEVELOPMENT,1240,1748,RGBA,R|G|B|A,true,false,false,false,D55FC70CD19BAC3815F5597E2458057EF6B1C2B1A5AD7A9C007938F66515A507
D86F134415A04E0606A287E30878EC7914E9DF74B3B4C92B1EF28FD94B366E94,DEVELOPMENT,1240,1748,RGBA,R|G|B|A,true,false,false,false,F8AD8446CB586C953324C5FB515AB38BAAFEAE8DD46381CBC6886E9B147CA2C7
4CB36B9488EDCAA6B27FEF1B0A3524525E14E115CF2045F118B032995E653587,DEVELOPMENT,2550,3299,RGBA,R|G|B|A,true,false,false,false,CA3A3A496C0B8AB86968D2F7E2D4BF6CF80AA313AAAD36F0530E64A4A021E1D2
720D554E1CE7B5F36A27E8EB9E0C446EDD580DD15E0AAB7C46E8EB12BE170C51,DEVELOPMENT,2550,3299,RGBA,R|G|B|A,true,false,false,false,AEAEE488F7546D80A3508F1D623C2B261172C32DB9174E75192E1A3BEA3A1ED1
83C37B5C6E92C9515F9456960E62208CEF94E5985871436E4E5464233C0EA6A0,DEVELOPMENT,870,374,RGBA,R|G|B|A,true,false,false,true,4A9F25098FEB653EFD0674989F5DAD329823622457D9575DEF35C58B59507EE2
35784F288939B0D8F196CB8646314FE710549A870D08E33C8E974D21EABBA0D1,DEVELOPMENT,1138,576,RGB,R|G|B,false,false,false,true,C7116F284107CE90E6A353F8E22CF068F92FE91224A6313DC2FF5A586F10800B
7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF,HOLDOUT,2550,3299,RGBA,R|G|B|A,true,false,false,false,DA93CBBA65973EBB10F6AA9BBF88546884B54E78D25F317813298A0586F56B91
122412579CB7F775A638F44BF40EACB229C173965B54C8B8FBC969D28DA6F2DC,HOLDOUT,2479,3508,RGB,R|G|B,false,false,false,true,1FC7FC5A4DBA046C775648D28564363EE0E4520E5A37E28F880CDA9DD812D589
8AE4509AEFA61A7ABB180BC7A0514AD169E1E8047C07D7544D3D0CB800B4E3FC,HOLDOUT,2480,3509,RGBA,R|G|B|A,true,false,false,false,5604813C93BE0351BB76F0608CAE5373A8F770D09A9813ACE2CF0C93F77AE001
FA8700C24DBDFE130D17A72C536CC9DCF1639DD4A8C5E313DB18605F70DAEED5,HOLDOUT,3299,2550,RGBA,R|G|B|A,true,false,false,false,F5182BFFD2483FB436113C9C36EC439D65DBCED7EB232C3E8F6E585E6B52A00B
0EF37A45898658CCA6C6E9A3A57946875F92E0AC0AF3C602DA2E9086380F6AE4,HOLDOUT,550,24,RGB,R|G|B,false,false,false,true,27B0AA3532A7610797EA1B59F8327E969910BAD94718EF71EABFFEEAB99B0B1F
15ED536B42D37302D1DD306E1E2F9C46AA07C069EC3DE614660DA7B6ECE627C0,HOLDOUT,32,40,RGBA,R|G|B|A,true,false,false,true,F109E6B26AA9D81D742D6FCD0300E5E67892F5ABEEDD6C61BAF58E041A00443A
B6524C56C8E4C7F199F98CE0E2EBE84BEC72DA783A9E5A1DA9FC17505080F44F,HOLDOUT,398,37,P,P,false,true,false,true,5F28ADC2CDB304A67E0EA8B0733F20AE3AEDB13694D7636CFDCD5E67B5739878
D9AFAF729E3D7965CE69B7DA7477640EFE7CB3725C7753E3C22305D06BF77C6B,HOLDOUT,156,101,RGB,R|G|B,false,false,false,true,79EB86A73040B80ADB80003E38609F3A97A41E357401A9ED03C0A1E4D6991663
2D246A2651752808442383D814C806437999B4C22FD2E77D18BEDAF2AC6786AB,HOLDOUT,924,155,RGBA,R|G|B|A,true,false,false,true,4875D8706DEDD5C55F92E30B6AB81CA354DDE2C3B3FD452DAE9566D51C196CBB
31371F0EA09BFB13ECAECD39B9C36CF70E4662CB0E31F2ABE26B8E74402003F5,HOLDOUT,2480,3508,RGBA,R|G|B|A,true,false,false,false,D6127B449392DBF36FBDB462ED24CC96C19EEADB3096A09FDA802C275A1E8D09
