CandidateId,OriginalPath,ExpectedSha256,Action,Label,GroupId,Notes
"G0018","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0018_inline-1.jpg","DFB5D9B1FC4775F72C0526C008E7C7438380A66D13114E8C65F3FAC5F942FFA3","ADD","NO_DOCUMENTO","publicidad-websupergoo","Publicidad WebSupergoo revisada."
"G0019","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0019_image005.png","AD4F901A339BA7D979DDC8D72FDF48CF5AEA068CE8B78E0A68DB02659CBB784D","ADD","OTRO_DOCUMENTO","otro-aviso-cheque-rechazado-banco-patagonia","Aviso de cheque rechazado; misma familia documental que G0022 y G0023."
"G0020","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0020_image010.png","EB53ABB8342D1302990B71C15034042BDC17148A79C0DD3C44048C55C16C1B6E","SKIP","NO_DOCUMENTO","firma-banco","Misma familia de firma o branding bancario ya representada."
"G0021","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0021_image011.png","93C69A3446790D529275E89E7F9F01DAD7EAB91F6EA68934933AA83FECC57E27","SKIP","NO_DOCUMENTO","firma-banco","Misma familia de firma o branding bancario ya representada."
"G0022","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0022_IMG_1238.jpeg","7D6906456FD818CCF677B46E7E09A4F9EE6932CEE5AF8FED0DC9CD4D2D7EEE75","ADD","OTRO_DOCUMENTO","otro-aviso-cheque-rechazado-banco-patagonia","Aviso de cheque rechazado; misma familia documental que G0019 y G0023."
"G0023","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0023_IMG_1239.jpeg","DA7DB06022306B8142F9D0179BDE36BFE71E64CEC4A2D7E10FCCE5D2FDBC7C97","ADD","OTRO_DOCUMENTO","otro-aviso-cheque-rechazado-banco-patagonia","Aviso de cheque rechazado; misma familia documental que G0019 y G0022."
"G0024","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0024_image001.png","3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418","ADD","NO_DOCUMENTO","capturas-sistema-posicion-consolidada","Captura del sistema de posición consolidada."
"G0025","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0025_image009.png","31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A","ADD","NO_DOCUMENTO","capturas-sistema-posicion-consolidada","Captura del sistema de posición consolidada; misma familia que G0024 y G0026."
"G0026","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0026_image011.png","C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279","ADD","NO_DOCUMENTO","capturas-sistema-posicion-consolidada","Captura del sistema de posición consolidada; misma familia que G0024 y G0025."
"G0027","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0027_1.jpg","398257AA42671A521BDE2ED73A1695CCE3819975D25652CA5F06383773E842EE","ADD","NO_DOCUMENTO","publicidad-guia","Publicidad o guía revisada."
