Path,Label,GroupId,SourceType,Sha256,Split,OriginalPath,Diversity
"Corpus\FACTURA\d165fb62e80f_Z001023243377.pdf","FACTURA","factura-familia-manantial","PDF","D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243377\Z001023243377.pdf","DMF_PDF"
"Corpus\FACTURA\a75839ae32a6_Z001023243181.pdf","FACTURA","factura-familia-pediatrics","PDF","A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243181\Z001023243181.pdf","REVIEWED_BATCH"
"Corpus\FACTURA\681d494d1eab_Z001023243384.pdf","FACTURA","factura-familia-servicios-inmobiliarios","PDF","681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868","VALIDATION","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243384\Z001023243384.pdf","REVIEWED_BATCH"
"Corpus\FACTURA\b68674f3b939_Z001023243327.pdf","FACTURA","factura-familia-vitalis","PDF","B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124","VALIDATION","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243327\Z001023243327.pdf","DMF_PDF"
"Corpus\FACTURA\122412579cb7_FacturaC_PV00004_00000002-1_122412579cb7.jpg","FACTURA","factura-homologacion-c-00004-00000002","IMAGE","122412579CB7F775A638F44BF40EACB229C173965B54C8B8FBC969D28DA6F2DC","TEST","C:\RecepcionDocumental\Facturas\2026\08\21\1a024490a1f47eb7\FacturaC_PV00004_00000002-1_122412579cb7.jpg","JPG_ADJUNTO"
"Corpus\FACTURA\8ae4509aefa6_PRUEBA_OCR_PDF_MDOC_8ae4509aefa6.pdf","FACTURA","factura-homologacion-c-00004-00000002","PDF","8AE4509AEFA61A7ABB180BC7A0514AD169E1E8047C07D7544D3D0CB800B4E3FC","TEST","C:\RecepcionDocumental\Revisar\2026\08\21\1a02462f4dce8463\PRUEBA_OCR_PDF_MDOC_8ae4509aefa6.pdf","PDF_ESCANEADO"
"Corpus\FACTURA\fa8700c24dbd_FacturaSINQR_fa8700c24dbd.pdf","FACTURA","factura-homologacion-c-00004-00000002","PDF","FA8700C24DBDFE130D17A72C536CC9DCF1639DD4A8C5E313DB18605F70DAEED5","TEST","C:\RecepcionDocumental\Revisar\2026\08\21\1a024579dc110764\FacturaSINQR_fa8700c24dbd.pdf","PDF_ESCANEADO"
"Corpus\NO_DOCUMENTO\94f6e14058c8_image002_94f6e14058c8.png","NO_DOCUMENTO","firma-banco","IMAGE","94F6E14058C816126DE54ADD5ABC33BE7B27923DDB132FBC9590101D1E82C8D7","VALIDATION","C:\RecepcionDocumental\Revisar\2026\08\25\1a03aa055f523b04\image002_94f6e14058c8.png","FIRMA"
"Corpus\NO_DOCUMENTO\0ef37a458986_42_0ef37a458986.png","NO_DOCUMENTO","flightaware-newsletter","IMAGE","0EF37A45898658CCA6C6E9A3A57946875F92E0AC0AF3C602DA2E9086380F6AE4","TEST","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\42_0ef37a458986.png","NEWSLETTER_PUBLICIDAD"
"Corpus\NO_DOCUMENTO\15ed536b42d3_35_15ed536b42d3.png","NO_DOCUMENTO","flightaware-newsletter","IMAGE","15ED536B42D37302D1DD306E1E2F9C46AA07C069EC3DE614660DA7B6ECE627C0","TEST","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\35_15ed536b42d3.png","NEWSLETTER_PUBLICIDAD"
"Corpus\NO_DOCUMENTO\b6524c56c8e4_37_b6524c56c8e4.png","NO_DOCUMENTO","flightaware-newsletter","IMAGE","B6524C56C8E4C7F199F98CE0E2EBE84BEC72DA783A9E5A1DA9FC17505080F44F","TEST","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\37_b6524c56c8e4.png","NEWSLETTER_PUBLICIDAD"
"Corpus\NO_DOCUMENTO\d9afaf729e3d_1_d9afaf729e3d.jpeg","NO_DOCUMENTO","flightaware-newsletter","IMAGE","D9AFAF729E3D7965CE69B7DA7477640EFE7CB3725C7753E3C22305D06BF77C6B","TEST","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\1_d9afaf729e3d.jpeg","NEWSLETTER_PUBLICIDAD"
"Corpus\NO_DOCUMENTO\74da980974a4_2013-04-29-465_74da980974a4.jpg","NO_DOCUMENTO","fotos-familiares","IMAGE","74DA980974A41F7B871D2C47FD7A44101AB5661F1393C6FEFD5399CAA02A68DD","TRAIN","C:\RecepcionDocumental\Revisar\2026\08\20\1a01f6a8c7fec053\2013-04-29-465_74da980974a4.jpg","FOTOGRAFIA"
"Corpus\NO_DOCUMENTO\ec91de96f8a2_2012-08-24-031_ec91de96f8a2.jpg","NO_DOCUMENTO","fotos-familiares","IMAGE","EC91DE96F8A25E7EE60D3F37BF910A33AE2F346FEE43CEEEF8DFD14BB3F53973","TRAIN","C:\RecepcionDocumental\Revisar\2026\08\19\1a01c6ff45809cb8\2012-08-24-031_ec91de96f8a2.jpg","FOTOGRAFIA"
"Corpus\OTRO_DOCUMENTO\2d246a265175_image001_2d246a265175.png","OTRO_DOCUMENTO","comprobante-pago-bancario","IMAGE","2D246A2651752808442383D814C806437999B4C22FD2E77D18BEDAF2AC6786AB","TEST","C:\RecepcionDocumental\Revisar\2026\08\25\1a03aa055f523b04\image001_2d246a265175.png","COMPROBANTE_PAGO"
"Corpus\OTRO_DOCUMENTO\2cdc2802080a_Credencial_23175875379 (202509) (1)_5b2f530cb3de.pdf","OTRO_DOCUMENTO","credencial","PDF","2CDC2802080A93C44CC6959AF2AC254546F4652B24A22C9B75546BEDFDB0A3EA","TRAIN","C:\RecepcionDocumental\Revisar\2026\08\19\1a01c6ff45809cb8\Credencial_23175875379 (202509) (1)_5b2f530cb3de.pdf","CREDENCIAL"
"Corpus\OTRO_DOCUMENTO\999fbf2c511b_Orden de Compra_999fbf2c511b.pdf","OTRO_DOCUMENTO","orden-compra","PDF","999FBF2C511BEF61577E45BE48F034B1AABDC5692AEB747159BD61CF408F6BB4","TRAIN","C:\RecepcionDocumental\Revisar\2026\08\19\1a01c6ff45809cb8\Orden de Compra_999fbf2c511b.pdf","ORDEN_COMPRA"
"Corpus\OTRO_DOCUMENTO\af9e13927bd6_Z001023242882.pdf","OTRO_DOCUMENTO","otro-correo-reenvio-factura","PDF","AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242882\Z001023242882.pdf","CORREO_REENVIO"
"Corpus\OTRO_DOCUMENTO\70943a213a86_Z001023242889.pdf","OTRO_DOCUMENTO","otro-impuesto-inmobiliario-rawson","PDF","70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA","VALIDATION","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242889\Z001023242889.pdf","IMPUESTO_INMOBILIARIO"
"Corpus\OTRO_DOCUMENTO\28fcc8808b0d_Z001023243169.pdf","OTRO_DOCUMENTO","otro-instruccion-transferencia-banco-patagonia","PDF","28FCC8808B0DEE25A850B6F4C5063E17FB94B3CB194917E84422E9F2A8C111A5","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243169\Z001023243169.pdf","REVIEWED_BATCH"
"Corpus\OTRO_DOCUMENTO\ca4b144974cd_Z001023243171.pdf","OTRO_DOCUMENTO","otro-instruccion-transferencia-banco-patagonia","PDF","CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243171\Z001023243171.pdf","REVIEWED_BATCH"
"Corpus\OTRO_DOCUMENTO\6db7ad704b49_NC_00002_00000001_af0c85980129.pdf","OTRO_DOCUMENTO","otro-nota-credito-electronica-edi-00002-00000001","PDF","6DB7AD704B49BFC71197B65C40C94E926183B498F4CFEB7553FAE26B2BC534A3","TRAIN","C:\RecepcionDocumental\Revisar\2026\08\19\1a01c6ff45809cb8\NC_00002_00000001_af0c85980129.pdf","REVIEWED_BATCH"
"Corpus\OTRO_DOCUMENTO\1c4db25aac0a_Z001023243325.pdf","OTRO_DOCUMENTO","otro-nota-credito-fiel","PDF","1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243325\Z001023243325.pdf","REVIEWED_BATCH"
"Corpus\OTRO_DOCUMENTO\382662294b57_Z001023243380.pdf","OTRO_DOCUMENTO","otro-recibo-c","PDF","382662294B57C459DB9F1231FE0503A77176D130F8EA1BFB709132C3115F1A49","VALIDATION","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243380\Z001023243380.pdf","REVIEWED_BATCH"
"Corpus\OTRO_DOCUMENTO\4cb36b9488ed_746omar-silverii_edi-sa-comRESDIA201620261635_4cb36b9488ed.pdf","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","PDF","4CB36B9488EDCAA6B27FEF1B0A3524525E14E115CF2045F118B032995E653587","TRAIN","C:\RecepcionDocumental\Revisar\2026\08\20\1a01f1a3f76be6d2\746omar-silverii_edi-sa-comRESDIA201620261635_4cb36b9488ed.pdf","REVIEWED_BATCH"
"Corpus\OTRO_DOCUMENTO\31371f0ea09b_Z001023242951.pdf","OTRO_DOCUMENTO","otro-solicitud-nota-credito-banco-patagonia","PDF","31371F0EA09BFB13ECAECD39B9C36CF70E4662CB0E31F2ABE26B8E74402003F5","TEST","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242951\Z001023242951.pdf","REVIEWED_BATCH"
