CandidateId,MessageId,OriginalFilename,MimeType,SHA256,SizeBytes,LocalPath,Subject,OriginRelation
"G0011","19faa9cb2a317a0d","image002.png","image/png","68477EC61E4A09A3BA68B1AB143073749C84CCB52C61EE8346DDD1A27582240D","12696","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0011_image002.png","Re: [EXTERNO] Re: Pedido de actualización cabezal RESUMENES TC - cold / sky","PartId=2; Disposition=inline; filename=""image002.png""; ContentId=<ii_19faa9b3dd15b16b22>"
"G0012","19f94b1b4fdbadfa","map.png","image/png","D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392","24768","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0012_map.png","Omar, tu viaje por $19.870,36","PartId=0.1; Disposition=inline; filename=""map.png""; ContentId=6a638173cb531_1ce99b07482a7@sidekiq-default-7bdb679c6b-99bn9.mail"
"G0013","19f8add0088a7000","inline-0.1.1.jpg","image/jpeg","645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991","25815","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0013_inline-0.1.1.jpg","Lanus Gobierno - boleta electronica de impuesto al automotor - cuenta:JCJ133","PartId=0.1.1; Disposition=; ContentId=<1f6fac16-0b83-4dd6-9306-9e64efe8b5b4>"
"G0014","19f8add0088a7000","inline-0.1.2.jpg","image/jpeg","9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7","238532","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0014_inline-0.1.2.jpg","Lanus Gobierno - boleta electronica de impuesto al automotor - cuenta:JCJ133","PartId=0.1.2; Disposition=; ContentId=<18d49579-1d6b-4eb4-82d2-a21474046c87>"
"G0015","19f8abfd17a6813f","6a60f5b49e0e0_128ba41717019@sidekiq-default-84d546fbfc-g5vnq.mail","image/png","966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D","34562","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0015_6a60f5b49e0e0_128ba41717019@sidekiq-default-84d546fbfc-g5vnq.mail","Omar, tu viaje por $3.355,27","PartId=0.1; Disposition=inline; filename=""6a60f5b49e0e0_128ba41717019@sidekiq-default-84d546fbfc-g5vnq.mail""; ContentId=<6a60f5b49e0e0_128ba41717019@sidekiq-default-84d546fbfc-g5vnq.mail>"
"G0016","19f8a3d5d9b8b778","6a60d44ed1591_14225c19926a@sidekiq-default-84d546fbfc-lwrvd.mail","image/png","F6112D3A8671D063327C69FBA50410F72448E6DA21C4C8A6AFCFC3F883CE84A4","42038","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0016_6a60d44ed1591_14225c19926a@sidekiq-default-84d546fbfc-lwrvd.mail","Omar, tu viaje por $4.549,75","PartId=0.1; Disposition=inline; filename=""6a60d44ed1591_14225c19926a@sidekiq-default-84d546fbfc-lwrvd.mail""; ContentId=<6a60d44ed1591_14225c19926a@sidekiq-default-84d546fbfc-lwrvd.mail>"
"G0017","19f85e876412f572","image003.png","image/png","83C37B5C6E92C9515F9456960E62208CEF94E5985871436E4E5464233C0EA6A0","204602","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0017_image003.png","RE: Pedido de actualización cabezal RESUMENES TC - cold / sky","PartId=0.1; Disposition=inline; filename=""image003.png""; size=204602; creation-date=""Tue, 21 Jul 2026 13:34:21 GMT""; modification-date=""Tue, 21 Jul 2026 18:15:07 GMT""; ContentId=<image003.png@01DD18FC.755DCE10>"
"G0018","19f22ecef907e4d1","inline-1.jpg","image/jpeg","DFB5D9B1FC4775F72C0526C008E7C7438380A66D13114E8C65F3FAC5F942FFA3","25659","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0018_inline-1.jpg","ABCpdf Version 14 Release","PartId=1; Disposition=inline; ContentId=<58927.4812110393825>"
"G0019","19f1a4cfc2fa525c","image005.png","image/png","AD4F901A339BA7D979DDC8D72FDF48CF5AEA068CE8B78E0A68DB02659CBB784D","174427","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0019_image005.png","RV: arreglado. Cheques rechazados.","PartId=0.2; Disposition=inline; filename=""image005.png""; size=174427; creation-date=""Tue, 30 Jun 2026 13:50:48 GMT""; modification-date=""Tue, 30 Jun 2026 20:50:58 GMT""; ContentId=<image005.png@01DD087E.4CCC6CB0>"
"G0020","19f1a4cfc2fa525c","image010.png","image/png","EB53ABB8342D1302990B71C15034042BDC17148A79C0DD3C44048C55C16C1B6E","9455","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0020_image010.png","RV: arreglado. Cheques rechazados.","PartId=0.4; Disposition=inline; filename=""image010.png""; size=9455; creation-date=""Tue, 30 Jun 2026 13:50:49 GMT""; modification-date=""Tue, 30 Jun 2026 20:50:59 GMT""; ContentId=<image010.png@01DD087E.4CCC6CB0>"
"G0021","19f1a4cfc2fa525c","image011.png","image/png","93C69A3446790D529275E89E7F9F01DAD7EAB91F6EA68934933AA83FECC57E27","16641","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0021_image011.png","RV: arreglado. Cheques rechazados.","PartId=0.5; Disposition=inline; filename=""image011.png""; size=16641; creation-date=""Tue, 30 Jun 2026 13:50:50 GMT""; modification-date=""Tue, 30 Jun 2026 20:50:59 GMT""; ContentId=<image011.png@01DD087E.4CCC6CB0>"
"G0022","19f1a4cfc2fa525c","IMG_1238.jpeg","image/jpeg","7D6906456FD818CCF677B46E7E09A4F9EE6932CEE5AF8FED0DC9CD4D2D7EEE75","1265323","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0022_IMG_1238.jpeg","RV: arreglado. Cheques rechazados.","PartId=1; Disposition=attachment; filename=""IMG_1238.jpeg""; size=1265323; creation-date=""Tue, 30 Jun 2026 16:29:05 GMT""; modification-date=""Tue, 30 Jun 2026 20:51:02 GMT""; ContentId="
"G0023","19f1a4cfc2fa525c","IMG_1239.jpeg","image/jpeg","DA7DB06022306B8142F9D0179BDE36BFE71E64CEC4A2D7E10FCCE5D2FDBC7C97","4316604","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0023_IMG_1239.jpeg","RV: arreglado. Cheques rechazados.","PartId=2; Disposition=attachment; filename=""IMG_1239.jpeg""; size=4316604; creation-date=""Tue, 30 Jun 2026 16:29:08 GMT""; modification-date=""Tue, 30 Jun 2026 20:51:06 GMT""; ContentId="
"G0024","19ef0fe1bc446823","image001.png","image/png","3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418","134609","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0024_image001.png","Fwd: Posición consolidada de cold","PartId=1; Disposition=attachment; filename=""image001.png""; ContentId=<ii_19ef0f713104cff311>"
"G0025","19ef0fe1bc446823","image009.png","image/png","31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A","269938","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0025_image009.png","Fwd: Posición consolidada de cold","PartId=5; Disposition=attachment; filename=""image009.png""; ContentId=<ii_19ef0f71310bdbb395>"
"G0026","19ef0fe1bc446823","image011.png","image/png","C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279","141259","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0026_image011.png","Fwd: Posición consolidada de cold","PartId=7; Disposition=attachment; filename=""image011.png""; ContentId=<ii_19ef0f71310201d7d07>"
"G0027","19eda65d4544ee10","1.jpg","image/jpeg","398257AA42671A521BDE2ED73A1695CCE3819975D25652CA5F06383773E842EE","797951","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0027_1.jpg","","PartId=1; Disposition=inline; filename=""1.jpg""; ContentId=<ii_mqj971ud1>"
