Sha256,Label,GroupId,Split,PhysicalFormat,MdocExecuted,MdocHasUsefulText,MdocTextLen,MdocAlphanumeric,MdocLetters,MdocUsefulWords,MdocNul,MdocControl,MdocReplacement,MdocPrintableRatio,MdocSpaceRatio,MdocTokens,MdocSingleCharTokens,MdocSingleCharTokenRatio,MdocLongTokenCount,MdocFailureReason,MdocClassification,MdocMethod,MdocConfidence,MdocReason,OcrExecuted,OcrSuccess,OcrHasUsefulText,OcrTextLen,OcrAlphanumeric,OcrLetters,OcrUsefulWords,OcrMeanConfidence,OcrImagesProcessed,RasterPageCount,RasterDurationMs,OcrDurationMs,OcrHeaderUsed,OcrHeaderDurationMs,OcrLimitExceeded,OcrStructuralFailure,OcrSystemFailure,OcrFailureReason,OcrClassification,OcrMethod,OcrConfidence,OcrReason,QrDetected,QrValid,TipoComprobanteArca,QrMdocClassification,QrMdocMethod,QrMdocConfidence,QrMdocReason,QrOcrClassification,QrOcrMethod,QrOcrConfidence,QrOcrReason,ProblemFlags
"E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B","FACTURA","factura-familia-ascensores-orem","TRAIN","PDF","true","false","1613","0","0","0","0","1113","0","0.309981","0.250465","310","0","0","0","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","true","true","true","1457","1140","718","118","0.88","1","1","551","1523","false","0","false","false","false","","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.","false","false","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.","MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA"
"2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551","FACTURA","factura-familia-branding-merchandising","TRAIN","PDF","true","true","3279","266","82","0","1093","1691","0","0.484294","0.333333","1093","266","0.243367","0","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","true","true","true","2625","1861","1281","222","0.81","2","2","1432","3016","false","0","false","false","false","","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.","false","false","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.","MDOC_DEGRADADO;MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA"
"B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88","FACTURA","factura-familia-condominio-pdi","TRAIN","PDF","true","true","2754","2160","1668","288","0","0","0","1","0.142702","381","21","0.055118","0","","REVISAR","PDF_TEXTO","55","Factura explícita con señales fiscales insuficientes.","true","true","true","2976","2172","1680","288","0.92","3","3","1244","3087","false","0","false","false","false","","DESCARTAR","OCR","","Documento identificado como REMITO.","false","false","","REVISAR","PDF_TEXTO","55","Factura explícita con señales fiscales insuficientes.","DESCARTAR","OCR","","Documento identificado como REMITO.","MDOC_OCR_DISCREPAN;OCR_EMPEORA_FACTURA"
"D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F","FACTURA","factura-familia-condominio-pdi","TRAIN","PDF","true","true","3120","2448","1815","306","0","0","0","1","0.135577","411","15","0.036496","0","","REVISAR","PDF_TEXTO","55","Factura explícita con señales fiscales insuficientes.","true","true","true","3762","2766","1959","327","0.9","6","3","1281","3503","true","351","false","false","false","","REVISAR","OCR","55","Factura explícita con señales fiscales insuficientes.","false","false","","REVISAR","PDF_TEXTO","55","Factura explícita con señales fiscales insuficientes.","REVISAR","OCR","55","Factura explícita con señales fiscales insuficientes.",""
"B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F","FACTURA","factura-familia-excell","VALIDATION","PDF","true","true","2236","1038","870","0","0","0","0","1","0.5","1118","1038","0.928444","0","","REVISAR","PDF_TEXTO","55","Factura explícita con señales fiscales insuficientes.","true","true","true","1380","1061","893","160","0.9","1","1","437","1430","false","0","false","false","false","","DESCARTAR","OCR","","Documento identificado como RECIBO.","false","false","","REVISAR","PDF_TEXTO","55","Factura explícita con señales fiscales insuficientes.","DESCARTAR","OCR","","Documento identificado como RECIBO.","MDOC_DEGRADADO;MDOC_OCR_DISCREPAN;OCR_EMPEORA_FACTURA"
"C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02","FACTURA","factura-familia-inmuebles-fce","TRAIN","PDF","true","true","3596","945","829","0","1638","2131","0","0.407397","0.090656","324","10","0.030864","1","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","true","true","true","1737","1377","1149","194","0.91","1","1","420","1404","false","0","false","false","false","","FACTURA","OCR","86","Factura explícita y 4 señales fiscales.","false","false","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","FACTURA","OCR","86","Factura explícita y 4 señales fiscales.","MDOC_DEGRADADO;MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA"
"D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0","FACTURA","factura-familia-manantial","TRAIN","PDF","true","true","1197","35","0","0","0","678","0","0.433584","0.269841","254","11","0.043307","0","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","true","true","true","1185","858","631","105","0.9","1","1","412","1179","false","0","false","false","false","","DESCARTAR","OCR","","Documento identificado como ORDEN DE COMPRA.","false","false","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","DESCARTAR","OCR","","Documento identificado como ORDEN DE COMPRA.","MDOC_DEGRADADO;MDOC_OCR_DISCREPAN;OCR_EMPEORA_FACTURA"
"A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87","FACTURA","factura-familia-pediatrics","TRAIN","PDF","true","true","971","743","461","88","0","0","0","1","0.146241","142","12","0.084507","0","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","true","true","true","2106","1586","1144","197","0.86","4","2","1281","2848","true","342","false","false","false","","REVISAR","OCR","55","Factura explícita con señales fiscales insuficientes.","false","false","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","REVISAR","OCR","55","Factura explícita con señales fiscales insuficientes.",""
"681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868","FACTURA","factura-familia-servicios-inmobiliarios","VALIDATION","PDF","true","true","1849","1446","1248","216","23","24","0","0.98702","0.161168","264","13","0.049242","0","","FACTURA","PDF_TEXTO","94","Factura explícita y 6 señales fiscales.","true","true","true","1971","1501","1304","227","0.93","1","1","451","1519","false","0","false","false","false","","FACTURA","OCR","94","Factura explícita y 6 señales fiscales.","true","true","211","FACTURA","QR_ARCA+PDF_TEXTO","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.","FACTURA","QR_ARCA+OCR","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.","MDOC_DEGRADADO"
"B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124","FACTURA","factura-familia-vitalis","TRAIN","PDF","true","true","2007","223","27","0","669","903","0","0.550075","0.333333","669","223","0.333333","0","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","true","true","true","1469","1098","804","155","0.84","2","1","627","1730","true","197","false","false","false","","REVISAR","OCR","55","Factura explícita con señales fiscales insuficientes.","false","false","","REVISAR","PDF_TEXTO_NO_CONCLUYENTE","","El texto obtenido no permite clasificar el documento con seguridad.","REVISAR","OCR","55","Factura explícita con señales fiscales insuficientes.","MDOC_DEGRADADO"
"122412579CB7F775A638F44BF40EACB229C173965B54C8B8FBC969D28DA6F2DC","FACTURA","factura-homologacion-c-00004-00000002","TEST","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","1214","865","669","114","0.91","2","0","0","1167","true","183","false","false","false","","FACTURA","OCR","90","Factura explícita y 5 señales fiscales.","false","false","","","","","","","","","","OCR_MEJORA_FACTURA"
"8AE4509AEFA61A7ABB180BC7A0514AD169E1E8047C07D7544D3D0CB800B4E3FC","FACTURA","factura-homologacion-c-00004-00000002","TEST","PDF","true","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","true","true","true","1019","763","592","104","0.88","2","1","587","1240","true","179","false","false","false","","FACTURA","OCR","86","Factura explícita y 4 señales fiscales.","false","false","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","FACTURA","OCR","86","Factura explícita y 4 señales fiscales.","MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA"
"FA8700C24DBDFE130D17A72C536CC9DCF1639DD4A8C5E313DB18605F70DAEED5","FACTURA","factura-homologacion-c-00004-00000002","TEST","PDF","true","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","true","true","true","957","680","525","87","0.94","1","1","484","953","false","0","false","false","false","","FACTURA","OCR","90","Factura explícita y 5 señales fiscales.","false","false","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","FACTURA","OCR","90","Factura explícita y 5 señales fiscales.","MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA"
"5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1","FACTURA","factura-logistica-la-serenisima-zb2b","TRAIN","PDF","true","true","3474","2742","2016","290","0","0","0","1","0.133564","415","23","0.055422","0","","FACTURA","PDF_TEXTO","82","Factura explícita y 3 señales fiscales.","true","true","true","2799","2097","1455","256","0.9","1","1","455","2090","false","0","false","false","false","","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.","false","false","","FACTURA","PDF_TEXTO","82","Factura explícita y 3 señales fiscales.","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.",""
"8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00","NO_DOCUMENTO","alertas-infraestructura-srvedms","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","82","54","48","11","0.83","2","0","0","109","true","48","false","false","false","","REVISAR","OCR","","El texto obtenido no permite clasificar el documento con seguridad.","false","false","","","","","","","","","",""
"0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253","NO_DOCUMENTO","branding-avon-natura","VALIDATION","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","24","15","15","4","0.7","2","0","0","70","true","27","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515","NO_DOCUMENTO","branding-bunge","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","8","3","3","1","0.89","2","0","0","54","true","25","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A","NO_DOCUMENTO","branding-correo-argentino","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","17","11","11","2","0.36","2","0","0","65","true","27","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6","NO_DOCUMENTO","branding-meteomatics","TEST","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","27","14","14","2","0.74","2","0","0","72","true","35","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85","NO_DOCUMENTO","branding-personal","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","13","8","8","1","0.96","2","0","0","64","true","26","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710","NO_DOCUMENTO","branding-renaper","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","4","0","0","0","0","2","0","0","58","true","27","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA","NO_DOCUMENTO","capturas-error-edms","TEST","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","293","211","209","45","0.94","2","0","0","235","true","60","false","false","false","","REVISAR","OCR","","El texto obtenido no permite clasificar el documento con seguridad.","false","false","","","","","","","","","",""
"31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A","NO_DOCUMENTO","capturas-sistema-posicion-consolidada","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","1027","765","743","113","0.81","1","0","0","572","false","0","false","false","false","","DESCARTAR","OCR","","Documento identificado como RECIBO.","false","false","","","","","","","","","",""
"3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418","NO_DOCUMENTO","capturas-sistema-posicion-consolidada","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","632","511","505","74","0.62","1","0","0","327","false","0","false","false","false","","DESCARTAR","OCR","","Documento identificado como RECIBO.","false","false","","","","","","","","","",""
"C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279","NO_DOCUMENTO","capturas-sistema-posicion-consolidada","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","821","650","644","104","0.62","1","0","0","421","false","0","false","false","false","","DESCARTAR","OCR","","Documento identificado como RECIBO.","false","false","","","","","","","","","",""
"645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991","NO_DOCUMENTO","correo-boleta-lanus","TRAIN","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","56","37","37","7","0.75","2","0","0","113","true","29","false","false","false","","REVISAR","OCR","","El texto obtenido no permite clasificar el documento con seguridad.","false","false","","","","","","","","","",""
"9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7","NO_DOCUMENTO","correo-boleta-lanus","TRAIN","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","902","662","614","125","0.86","2","0","0","604","true","51","false","false","false","","REVISAR","OCR","","El texto obtenido no permite clasificar el documento con seguridad.","false","false","","","","","","","","","",""
"BE8E9456C6B3CD399C535A48BB397D4BF7C91D9CBDC212D5438373DDEFD4B5B5","NO_DOCUMENTO","error-impresion-xerox","VALIDATION","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","1814","1287","997","232","0.36","2","0","0","2845","true","143","false","false","false","","REVISAR","OCR","","El texto obtenido no permite clasificar el documento con seguridad.","false","false","","","","","","","","","",""
"94F6E14058C816126DE54ADD5ABC33BE7B27923DDB132FBC9590101D1E82C8D7","NO_DOCUMENTO","firma-banco","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","176","131","114","22","0.67","2","0","0","132","true","26","false","false","false","","REVISAR","OCR","","El texto obtenido no permite clasificar el documento con seguridad.","false","false","","","","","","","","","",""
"0814C60BD510A3E30D86D313B0DDDB0CB088B987E781388B1C942943A13D554E","NO_DOCUMENTO","firma-deloitte","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","14","8","8","1","0.87","2","0","0","60","true","27","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"4076445FF73213039D7402664EB4FC48546391227FAB11DAA3224DA874701C8C","NO_DOCUMENTO","firma-deloitte","TRAIN","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","62","45","41","7","0.93","2","0","0","98","true","30","false","false","false","","REVISAR","OCR","","El texto obtenido no permite clasificar el documento con seguridad.","false","false","","","","","","","","","",""
"0EF37A45898658CCA6C6E9A3A57946875F92E0AC0AF3C602DA2E9086380F6AE4","NO_DOCUMENTO","flightaware-newsletter","TEST","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","68","55","55","8","0.94","2","0","0","99","true","26","false","false","false","","REVISAR","OCR","","El texto obtenido no permite clasificar el documento con seguridad.","false","false","","","","","","","","","",""
"15ED536B42D37302D1DD306E1E2F9C46AA07C069EC3DE614660DA7B6ECE627C0","NO_DOCUMENTO","flightaware-newsletter","TEST","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","4","0","0","0","0","2","0","0","51","true","25","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"B6524C56C8E4C7F199F98CE0E2EBE84BEC72DA783A9E5A1DA9FC17505080F44F","NO_DOCUMENTO","flightaware-newsletter","TEST","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","4","0","0","0","0","2","0","0","55","true","26","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"D9AFAF729E3D7965CE69B7DA7477640EFE7CB3725C7753E3C22305D06BF77C6B","NO_DOCUMENTO","flightaware-newsletter","TEST","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","6","0","0","0","0","2","0","0","56","true","27","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"74DA980974A41F7B871D2C47FD7A44101AB5661F1393C6FEFD5399CAA02A68DD","NO_DOCUMENTO","fotos-familiares","TRAIN","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","6","0","0","0","0.95","2","0","0","691","true","59","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"EC91DE96F8A25E7EE60D3F37BF910A33AE2F346FEE43CEEEF8DFD14BB3F53973","NO_DOCUMENTO","fotos-familiares","TRAIN","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","8","0","0","0","0","2","0","0","1836","true","82","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D","NO_DOCUMENTO","mapas-viajes","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","4","0","0","0","0","2","0","0","101","true","27","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
"D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392","NO_DOCUMENTO","mapas-viajes","TRAIN","PNG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","false","6","0","0","0","0.95","2","0","0","84","true","28","false","false","false","","REVISAR","OCR_NO_CONCLUYENTE","","El OCR no produjo texto utilizable para clasificar el documento.","false","false","","","","","","","","","",""
